"Datum (UTC)";"Import Saldo";"Kernenergie";"Nicht Erneuerbar";"Erneuerbar";"Day Ahead Auktion (ES)"
2015-01-01 00:00:00;-1171.75;7096;10577.5;9224.5;48.1
2015-01-01 01:00:00;-1635.74;7099;10059;8474;47.33
2015-01-01 02:00:00;-989.68;7098;8997.5;7624.5;42.27
2015-01-01 03:00:00;-773.1;7097;8450.5;7246.5;38.41
2015-01-01 04:00:00;-118.96;7098;8099;6925;35.72
2015-01-01 05:00:00;333.9;7098;7874;6808;35.13
2015-01-01 06:00:00;996.52;7099;7707.5;6596.5;36.22
2015-01-01 07:00:00;919.62;7098;7867;6284;32.4
2015-01-01 08:00:00;1061.25;7097;8056;6806;36.6
2015-01-01 09:00:00;1243.57;7096;8060;8156;43.1
2015-01-01 10:00:00;620.3;7097;8313;9150;45.14
2015-01-01 11:00:00;172.63;7097;8619.5;9654.5;45.14
2015-01-01 12:00:00;337.65;7099;8758;9861;47.35
2015-01-01 13:00:00;785.63;7097;8606;9577;47.35
2015-01-01 14:00:00;341.62;7096;8234;9303;43.61
2015-01-01 15:00:00;438.11;7095;8569.5;8430.5;44.91
2015-01-01 16:00:00;1001.97;7095;9306;7433;48.1
2015-01-01 17:00:00;1942.8;7096;10104.5;8070.5;58.02
2015-01-01 18:00:00;1670.53;7096;9924;10160;61.01
2015-01-01 19:00:00;1561.71;7096;9969;11239;62.69
2015-01-01 20:00:00;1428.62;7096;10355;11522;60.41
2015-01-01 21:00:00;1478.13;7098;10484;10738;58.15
2015-01-01 22:00:00;1229.36;7098;10254.5;8805.5;53.6
2015-01-01 23:00:00;104.17;7099;10349;7431;47.34
2015-01-02 00:00:00;-260.07;7098;10212;5906;40.4
2015-01-02 01:00:00;-394.75;7099;9985;5351;36
2015-01-02 02:00:00;-498.27;7098;9837;5050;37
2015-01-02 03:00:00;-252.58;7100;9444.5;5011.5;35.99
2015-01-02 04:00:00;-25.79;7100;9500.5;5262.5;37.98
2015-01-02 05:00:00;610.38;7101;10194;5662;43.61
2015-01-02 06:00:00;1344.92;7101;10716;6119;56.1
2015-01-02 07:00:00;1392.17;7099;11337.5;8066.5;57.69
2015-01-02 08:00:00;2283.8;7097;11510;9929;60.01
2015-01-02 09:00:00;2399.93;7098;12099;11133;62.25
2015-01-02 10:00:00;1855.15;7097;11743.5;11983.5;60.01
2015-01-02 11:00:00;1652.97;7095;12047;11342;59.97
2015-01-02 12:00:00;1284.15;7096;12226.5;11400.5;59.69
2015-01-02 13:00:00;889.6;7098;12046.5;11252.5;58.69
2015-01-02 14:00:00;1127.78;7097;11957;10143;58.13
2015-01-02 15:00:00;1052.06;7097;12453.5;9507.5;59
2015-01-02 16:00:00;1324.63;7096;12850.5;9681.5;59.69
2015-01-02 17:00:00;2006.63;7095;14199;10343;63.76
2015-01-02 18:00:00;1694.51;7096;14803.5;10841.5;65.01
2015-01-02 19:00:00;1650.63;7096;14892.5;11029.5;65.01
2015-01-02 20:00:00;1393.81;7096;14409;11691;61.75
2015-01-02 21:00:00;797.72;7094;13953.5;11139.5;59.96
2015-01-02 22:00:00;909.01;7096;12775.5;9645.5;58.69
2015-01-02 23:00:00;41.37;7098;12360.5;8008.5;52.1
2015-01-03 00:00:00;-452.77;7097;12200.5;6372.5;47.84
2015-01-03 01:00:00;-242.78;7101;11424;5446;43.66
2015-01-03 02:00:00;-39.97;7101;11228.5;4995.5;43.66
2015-01-03 03:00:00;-115.47;7101;10977;4988;41.98
2015-01-03 04:00:00;252.32;7101;10590;5104;43.93
2015-01-03 05:00:00;460.2;7101;10841;5464;46.02
2015-01-03 06:00:00;773.76;7100;10780;5863;50.92
2015-01-03 07:00:00;995.65;7100;11319;6386;55.57
2015-01-03 08:00:00;1548.02;7097;11206;8217;58.1
2015-01-03 09:00:00;1841.77;7096;11246.5;10200.5;59.8
2015-01-03 10:00:00;1172.91;7099;11205.5;11419.5;59.51
2015-01-03 11:00:00;938.28;7100;11307.5;10952.5;59
2015-01-03 12:00:00;530.66;7100;11676;10718;58.13
2015-01-03 13:00:00;232.03;7100;11631.5;10703.5;56.9
2015-01-03 14:00:00;-456.31;7098;11216;10845;52.69
2015-01-03 15:00:00;-456.83;7098;11096.5;10425.5;52.1
2015-01-03 16:00:00;-195.96;7097;11892;9904;56.1
2015-01-03 17:00:00;260.66;7094;13109.5;11177.5;59
2015-01-03 18:00:00;147.06;7096;13523;12109;59.8
2015-01-03 19:00:00;141.33;7095;13678.5;12663.5;59.92
2015-01-03 20:00:00;-228.75;7096;13823.5;12964.5;59.51
2015-01-03 21:00:00;-203.28;7096;13504.5;11808.5;58.1
2015-01-03 22:00:00;-500.04;7098;12800;10517;56.1
2015-01-03 23:00:00;-656.75;7099;12472.5;8725.5;39.82
2015-01-04 00:00:00;-584.94;7098;11412;7808;34.82
2015-01-04 01:00:00;-526.31;7097;10295.5;7440.5;34
2015-01-04 02:00:00;-503.88;7098;9561;7270;36
2015-01-04 03:00:00;-602.58;7099;9236.5;7377.5;35
2015-01-04 04:00:00;-362.28;7099;9058.5;7328.5;35.5
2015-01-04 05:00:00;-242.71;7098;9026.5;7577.5;36
2015-01-04 06:00:00;89.83;7098;9339;7435;36.49
2015-01-04 07:00:00;429.42;7096;9474;7434;38.5
2015-01-04 08:00:00;515.89;7096;10021;8316;41.86
2015-01-04 09:00:00;520.4;7097;10363.5;9353.5;48.51
2015-01-04 10:00:00;216.1;7097;10733.5;10180.5;48.51
2015-01-04 11:00:00;-236.56;7096;10695.5;10536.5;45.5
2015-01-04 12:00:00;-231.73;7098;10929;10430;47.71
2015-01-04 13:00:00;-263.06;7098;10832;10337;46.48
2015-01-04 14:00:00;-510.64;7097;10432.5;10168.5;39.82
2015-01-04 15:00:00;-287.91;7096;10487;9358;39.6
2015-01-04 16:00:00;178.57;7094;11266;8214;47.69
2015-01-04 17:00:00;585.77;7093;12098;10049;59.11
2015-01-04 18:00:00;747.79;7092;12729;10842;61.26
2015-01-04 19:00:00;680.36;7092;12998;11709;62.31
2015-01-04 20:00:00;841.97;7092;13136.5;11808.5;62.69
2015-01-04 21:00:00;628.34;7094;13185;10922;61.19
2015-01-04 22:00:00;407.1;7096;12601;9501;59.8
2015-01-04 23:00:00;187;7097;12110.5;7209.5;56.06
2015-01-05 00:00:00;29.44;7096;12022.5;5227.5;48.07
2015-01-05 01:00:00;-256.55;7097;11723;4457;43.93
2015-01-05 02:00:00;46.41;7097;11359;3910;45.67
2015-01-05 03:00:00;347.59;7097;11128;3588;45.69
2015-01-05 04:00:00;469.74;7099;11404;3609;47.49
2015-01-05 05:00:00;777.45;7099;11896.5;3992.5;57.5
2015-01-05 06:00:00;1088.82;7097;12765.5;5080.5;63
2015-01-05 07:00:00;1141.76;7097;13464.5;7003.5;65.11
2015-01-05 08:00:00;1035.06;7097;14093.5;9230.5;66.96
2015-01-05 09:00:00;843.66;7097;14120.5;10899.5;67.52
2015-01-05 10:00:00;558.2;7096;14067;11285;65.97
2015-01-05 11:00:00;-26.82;7097;14305;10923;63.68
2015-01-05 12:00:00;227.05;7096;14280.5;10554.5;62.71
2015-01-05 13:00:00;-330.47;7095;14400;10115;60.01
2015-01-05 14:00:00;-495.46;7095;14232.5;9323.5;59.8
2015-01-05 15:00:00;-509.66;7094;14412;8731;59.98
2015-01-05 16:00:00;-247.59;7093;15370;7681;63.46
2015-01-05 17:00:00;308.5;7094;16217.5;7997.5;67.52
2015-01-05 18:00:00;346.2;7094;16309;8119;69
2015-01-05 19:00:00;-191.26;7094;16376;8718;67.52
2015-01-05 20:00:00;-297.64;7094;16367;9096;65.11
2015-01-05 21:00:00;-368.17;7094;16122;8310;63.07
2015-01-05 22:00:00;-109.45;7096;14241;8102;59.8
2015-01-05 23:00:00;59.24;7096;13117.5;6703.5;57.98
2015-01-06 00:00:00;-431.05;7096;12440;5429;50.45
2015-01-06 01:00:00;-609.66;7098;11316;5348;46
2015-01-06 02:00:00;-488.34;7099;10467;5327;43.84
2015-01-06 03:00:00;-250.93;7099;10068;5613;40.13
2015-01-06 04:00:00;-264.87;7097;9930;5727;40
2015-01-06 05:00:00;-349.46;7096;10354;5824;43.32
2015-01-06 06:00:00;-1387.35;7096;11598;6212;50
2015-01-06 07:00:00;-1117.24;7097;11917.5;6221.5;49.53
2015-01-06 08:00:00;-272.18;7097;11803;6984;54
2015-01-06 09:00:00;295.76;7098;12069;8162;59.28
2015-01-06 10:00:00;290.65;7098;12439;8100;59.69
2015-01-06 11:00:00;-251.5;7099;12610.5;8007.5;56.86
2015-01-06 12:00:00;-351.27;7098;12888;7950;54.2
2015-01-06 13:00:00;-488.15;7098;12525.5;8240.5;51
2015-01-06 14:00:00;-731.27;7097;12355.5;7458.5;48.51
2015-01-06 15:00:00;-565.73;7096;12463;6641;50.31
2015-01-06 16:00:00;-609.95;7094;13095;6445;57
2015-01-06 17:00:00;-165.52;7096;13356.5;8129.5;60.69
2015-01-06 18:00:00;21.17;7096;14158;8734;62.99
2015-01-06 19:00:00;-4.03;7095;14235;9639;63.7
2015-01-06 20:00:00;-292.34;7096;14476.5;10673.5;62.69
2015-01-06 21:00:00;-768.86;7097;13808.5;11111.5;60.1
2015-01-06 22:00:00;-716.26;7096;13541.5;9119.5;59.86
2015-01-06 23:00:00;-372.73;7097;13305.5;6324.5;52.85
2015-01-07 00:00:00;-627.12;7096;13242.5;4745.5;49.67
2015-01-07 01:00:00;-633.26;7096;13058.5;3732.5;48.95
2015-01-07 02:00:00;-604.06;7097;12830.5;3347.5;50
2015-01-07 03:00:00;-515.85;7096;13073.5;3176.5;47.73
2015-01-07 04:00:00;-229.47;7096;13582;3018;51.12
2015-01-07 05:00:00;193.13;7096;14403.5;3953.5;60.1
2015-01-07 06:00:00;1666.69;7095;15467;5614;66.49
2015-01-07 07:00:00;1957.89;7096;17009.5;7419.5;68.81
2015-01-07 08:00:00;1579.58;7095;16824.5;10174.5;79.99
2015-01-07 09:00:00;1535.45;7096;17456;10957;85.05
2015-01-07 10:00:00;1382.93;7096;17672.5;11181.5;79.99
2015-01-07 11:00:00;1388.13;7097;18454.5;9976.5;68.81
2015-01-07 12:00:00;899.15;7098;18871;9877;67.24
2015-01-07 13:00:00;-98.72;7098;18437.5;9960.5;64.89
2015-01-07 14:00:00;23.31;7096;17857;9609;64.13
2015-01-07 15:00:00;36.77;7096;17975;9374;65.1
2015-01-07 16:00:00;867.9;7095;18658.5;8531.5;67.24
2015-01-07 17:00:00;1353.79;7097;19154;10103;70.4
2015-01-07 18:00:00;1019.85;7097;19727.5;10995.5;75
2015-01-07 19:00:00;658.23;7099;20089.5;11201.5;70.55
2015-01-07 20:00:00;59.63;7101;20260;10657;66.69
2015-01-07 21:00:00;-236.11;7100;17990.5;10351.5;63.19
2015-01-07 22:00:00;-486.47;7100;16296.5;9097.5;61.53
2015-01-07 23:00:00;-681.67;7102;15804;6812;61.5
2015-01-08 00:00:00;-641.37;7101;15316.5;5175.5;59.82
2015-01-08 01:00:00;-638.27;7101;14955;4312;57.9
2015-01-08 02:00:00;-601.08;7102;14631.5;3874.5;55
2015-01-08 03:00:00;-617.82;7104;14627;3952;54.56
2015-01-08 04:00:00;-577.44;7104;14538;4469;57.59
2015-01-08 05:00:00;-255.59;7102;15320.5;5344.5;60.89
2015-01-08 06:00:00;1355.85;7096;16310;7288;67.5
2015-01-08 07:00:00;1711.29;7096;17643;9331;69.1
2015-01-08 08:00:00;2178.12;7099;17204.5;10499.5;74.69
2015-01-08 09:00:00;1757.26;7102;17242;11655;75.96
2015-01-08 10:00:00;1102.21;7102;17313;11975;73.6
2015-01-08 11:00:00;487.94;7101;17527.5;11906.5;69.96
2015-01-08 12:00:00;349.77;7100;17803;11452;68
2015-01-08 13:00:00;23.66;7099;17403.5;10786.5;65.1
2015-01-08 14:00:00;-170.82;7099;17452.5;10501.5;64.89
2015-01-08 15:00:00;221.7;7101;17765;9511;66.49
2015-01-08 16:00:00;476.64;7101;18685.5;8983.5;67.73
2015-01-08 17:00:00;608.37;7103;19664;10521;71.46
2015-01-08 18:00:00;919.96;7106;20202.5;11000.5;74.69
2015-01-08 19:00:00;331.98;7109;20469;11503;71
2015-01-08 20:00:00;-143.59;7106;20197;11300;66.49
2015-01-08 21:00:00;-574.74;7105;17984;11031;63.31
2015-01-08 22:00:00;-827.05;7105;15928.5;9947.5;60
2015-01-08 23:00:00;-327.28;7106;14506.5;8162.5;56.73
2015-01-09 00:00:00;-22.13;7107;13441.5;6553.5;50.25
2015-01-09 01:00:00;-182.7;7107;13148;5980;48.89
2015-01-09 02:00:00;-229.87;7108;13201.5;5357.5;49.14
2015-01-09 03:00:00;-131.29;7110;13089;5360;49.14
2015-01-09 04:00:00;0.75;7111;13392.5;5373.5;50.6
2015-01-09 05:00:00;694.8;7109;13798;6271;59.82
2015-01-09 06:00:00;1907.86;7105;15432.5;7729.5;67.69
2015-01-09 07:00:00;2356.69;7104;16711;9807;69.19
2015-01-09 08:00:00;2245.56;7103;16580;11302;73.02
2015-01-09 09:00:00;1978.65;7102;16639;12137;75.69
2015-01-09 10:00:00;1248.83;7103;16322.5;12667.5;73
2015-01-09 11:00:00;503.78;7105;15998.5;13073.5;70.2
2015-01-09 12:00:00;241.46;7105;16263.5;12639.5;69
2015-01-09 13:00:00;26.21;7105;15978;11389;65
2015-01-09 14:00:00;-161.52;7104;16026;10891;64.99
2015-01-09 15:00:00;89.05;7103;16080;10438;67.52
2015-01-09 16:00:00;423.82;7102;16439.5;10029.5;69
2015-01-09 17:00:00;842.91;7101;17688;10700;70.15
2015-01-09 18:00:00;952.23;7101;18119;11345;71
2015-01-09 19:00:00;460.58;7101;18677;11448;69
2015-01-09 20:00:00;211;7102;18952.5;10760.5;65.01
2015-01-09 21:00:00;-152.94;7104;18346;9675;63.05
2015-01-09 22:00:00;-404.58;7106;16251;9134;59.33
2015-01-09 23:00:00;-696.68;7106;14634;8272;45.28
2015-01-10 00:00:00;-522.39;7106;13901;6274;44.96
2015-01-10 01:00:00;-354.08;7104;12731.5;6033.5;43.05
2015-01-10 02:00:00;-291.18;7103;12012;6155;43
2015-01-10 03:00:00;-521.82;7102;11618;6181;43.83
2015-01-10 04:00:00;-568.22;7103;11381.5;6371.5;45
2015-01-10 05:00:00;-539.16;7103;11493;6883;47.43
2015-01-10 06:00:00;13.94;7102;12358;7217;54.12
2015-01-10 07:00:00;206.94;7104;12923;7982;60.69
2015-01-10 08:00:00;691.18;7103;13376;9204;64.82
2015-01-10 09:00:00;818.19;7103;13953.5;10308.5;67.69
2015-01-10 10:00:00;596.2;7102;14007.5;10723.5;66.2
2015-01-10 11:00:00;-122.79;7103;14015.5;10814.5;65.01
2015-01-10 12:00:00;-90.02;7103;14009.5;10529.5;64.82
2015-01-10 13:00:00;-115.02;7102;14141.5;10103.5;62.43
2015-01-10 14:00:00;-531.9;7101;14041.5;9228.5;58.58
2015-01-10 15:00:00;-459.14;7100;14329.5;8469.5;58.34
2015-01-10 16:00:00;-245.92;7099;14747;8284;61.69
2015-01-10 17:00:00;106.84;7101;15518.5;9464.5;63.89
2015-01-10 18:00:00;-359.77;7102;15695.5;11150.5;64.89
2015-01-10 19:00:00;-460.43;7101;15778.5;11687.5;64.34
2015-01-10 20:00:00;-381.44;7102;15717;11616;63.71
2015-01-10 21:00:00;-160.59;7103;14689.5;10951.5;59.33
2015-01-10 22:00:00;-558.22;7104;13922;9925;48.8
2015-01-10 23:00:00;-827.16;7104;13679.5;8217.5;44.39
2015-01-11 00:00:00;-537.39;7088;11904;8078;39.88
2015-01-11 01:00:00;-546.06;7054;10567.5;8133.5;39.41
2015-01-11 02:00:00;-503.76;7035;9660;8685;39.41
2015-01-11 03:00:00;-335.79;7039;8922.5;9072.5;38.4
2015-01-11 04:00:00;-457.55;7050;8882;9599;37
2015-01-11 05:00:00;-338.51;7059;9106;9662;37
2015-01-11 06:00:00;-28.26;7068;9275.5;9927.5;37.59
2015-01-11 07:00:00;284.51;7078;9108;10162;38.5
2015-01-11 08:00:00;332.05;7088;9548;10979;41.5
2015-01-11 09:00:00;-63.61;7098;9988.5;11813.5;43
2015-01-11 10:00:00;-454.61;7104;10198;12335;43.39
2015-01-11 11:00:00;-515.15;7104;10425;12244;40.8
2015-01-11 12:00:00;-472.65;7104;10791.5;12044.5;42.88
2015-01-11 13:00:00;-530.74;7103;10970.5;11802.5;42
2015-01-11 14:00:00;-596.2;7100;10736;11031;39.2
2015-01-11 15:00:00;-530.97;7099;10920;10186;39.54
2015-01-11 16:00:00;-314.69;7098;11533.5;9061.5;43.39
2015-01-11 17:00:00;621.17;7099;12521.5;9722.5;62.32
2015-01-11 18:00:00;530.45;7100;13190;11370;66.2
2015-01-11 19:00:00;610.33;7100;13438;12161;68.03
2015-01-11 20:00:00;780.07;7102;13694.5;11876.5;67.92
2015-01-11 21:00:00;416.55;7103;13676;10900;64.82
2015-01-11 22:00:00;12.97;7105;13101;9427;59.82
2015-01-11 23:00:00;185.7;7105;12528;6937;48.96
2015-01-12 00:00:00;-264.1;7103;11777.5;6457.5;45.34
2015-01-12 01:00:00;-324.04;7103;10972.5;6378.5;41.3
2015-01-12 02:00:00;-230.79;7103;10592.5;6755.5;41
2015-01-12 03:00:00;-38.95;7104;10393.5;7054.5;41.01
2015-01-12 04:00:00;-186.69;7102;10594;7333;43.05
2015-01-12 05:00:00;339.96;7102;11545;7965;49.21
2015-01-12 06:00:00;1400.04;7100;13301;9509;62.01
2015-01-12 07:00:00;1290.7;7100;14507.5;12074.5;63.89
2015-01-12 08:00:00;1857.61;7101;14385.5;13066.5;70
2015-01-12 09:00:00;1578.49;7101;14389;13963;70.69
2015-01-12 10:00:00;1144.36;7101;14098;14309;70.52
2015-01-12 11:00:00;200.54;7101;14069;14624;67.11
2015-01-12 12:00:00;-111.33;7099;13912.5;14735.5;64.3
2015-01-12 13:00:00;-89.61;7098;13702.5;13683.5;62.01
2015-01-12 14:00:00;-372.51;7096;13876;13205;60.76
2015-01-12 15:00:00;-65.36;7099;14513.5;12136.5;62.01
2015-01-12 16:00:00;141.47;7099;15037.5;11957.5;63.5
2015-01-12 17:00:00;454.91;7099;15694;13449;66.2
2015-01-12 18:00:00;673.1;7100;15797;14416;69.7
2015-01-12 19:00:00;387.58;7103;15871;14784;67.69
2015-01-12 20:00:00;140.47;7103;15771.5;14432.5;62.99
2015-01-12 21:00:00;-544.28;7102;15017;13190;54.56
2015-01-12 22:00:00;-849.7;7103;13602;11442;48.96
2015-01-12 23:00:00;-528.47;7104;11719;10745;46.17
2015-01-13 00:00:00;-562.66;7102;11087.5;9939.5;42
2015-01-13 01:00:00;-177.92;7103;10564.5;9360.5;40.8
2015-01-13 02:00:00;56.89;7103;10484;8966;39.69
2015-01-13 03:00:00;284.43;7102;10230.5;9035.5;39.2
2015-01-13 04:00:00;302;7103;10525.5;8967.5;40
2015-01-13 05:00:00;773.21;7104;11110.5;9150.5;44.93
2015-01-13 06:00:00;1639.54;7102;13052.5;10313.5;58.34
2015-01-13 07:00:00;1666.11;7102;14723.5;12130.5;62.2
2015-01-13 08:00:00;1790.41;7101;14580.5;13239.5;66.2
2015-01-13 09:00:00;1846.07;7101;14597;13566;68.52
2015-01-13 10:00:00;1553.71;7102;14269.5;13947.5;66.49
2015-01-13 11:00:00;999.51;7101;14321;13805;63.31
2015-01-13 12:00:00;797.18;7099;14233.5;13705.5;61.84
2015-01-13 13:00:00;601.01;7099;13954;12837;57.46
2015-01-13 14:00:00;411.02;7098;13945;12520;57.59
2015-01-13 15:00:00;435.21;7098;14422;11899;60.69
2015-01-13 16:00:00;174.03;7097;15677.5;11368.5;62.56
2015-01-13 17:00:00;282.55;7098;17038.5;12268.5;67.11
2015-01-13 18:00:00;224.98;7098;17632;13427;70.2
2015-01-13 19:00:00;-308.99;7098;17959.5;13702.5;69.1
2015-01-13 20:00:00;-817.22;7097;18767.5;12678.5;63.89
2015-01-13 21:00:00;-865.76;7099;18125.5;10436.5;61.84
2015-01-13 22:00:00;-832.11;7099;15701;9634;54.96
2015-01-13 23:00:00;-830.57;7098;14007;9211;48.04
2015-01-14 00:00:00;-554.39;7099;11888.5;8781.5;43.22
2015-01-14 01:00:00;-515.09;7100;10640.5;8922.5;43.05
2015-01-14 02:00:00;-546.08;7099;10568.5;8939.5;43.21
2015-01-14 03:00:00;-495.86;7098;10621;8961;43.05
2015-01-14 04:00:00;-448.4;7098;11176.5;8604.5;46.83
2015-01-14 05:00:00;92.45;7096;12523.5;8247.5;60.69
2015-01-14 06:00:00;540.46;7097;14188.5;10177.5;68.03
2015-01-14 07:00:00;776.5;7097;15626;12040;71.46
2015-01-14 08:00:00;1144.37;7097;15788;12470;78.9
2015-01-14 09:00:00;1125.88;7098;16060.5;12777.5;81.12
2015-01-14 10:00:00;669.81;7099;15250;13654;77.15
2015-01-14 11:00:00;-106.12;7099;15579;13719;71.15
2015-01-14 12:00:00;-523.58;7099;15536;13781;68.25
2015-01-14 13:00:00;-672.5;7099;15535;12639;63.89
2015-01-14 14:00:00;-721.73;7098;15775.5;11925.5;63.01
2015-01-14 15:00:00;-630.59;7099;15386.5;12266.5;64.89
2015-01-14 16:00:00;-493.02;7099;16066;11928;67.11
2015-01-14 17:00:00;-99.18;7099;17227.5;12688.5;69.96
2015-01-14 18:00:00;-191.23;7100;17590;13835;70.52
2015-01-14 19:00:00;-388.96;7101;17664.5;14023.5;68.75
2015-01-14 20:00:00;-376.48;7102;17904.5;13022.5;62.99
2015-01-14 21:00:00;-577.31;7102;15393.5;12725.5;55
2015-01-14 22:00:00;-374.34;7102;13227.5;11329.5;45.67
2015-01-14 23:00:00;-322.43;7105;11410.5;11003.5;39
2015-01-15 00:00:00;-237.66;7103;10298.5;10920.5;35
2015-01-15 01:00:00;261.94;7103;9320.5;10525.5;34.73
2015-01-15 02:00:00;525.65;7103;9100.5;10444.5;33.04
2015-01-15 03:00:00;760.52;7104;8968.5;10155.5;32.25
2015-01-15 04:00:00;986.3;7104;9467;9936;33
2015-01-15 05:00:00;1266.02;7102;10014.5;10308.5;38
2015-01-15 06:00:00;2006.3;7099;11655.5;11105.5;48.62
2015-01-15 07:00:00;2172.6;7073;12649.5;13099.5;57.59
2015-01-15 08:00:00;1960.43;7065;12301;14708;63.01
2015-01-15 09:00:00;1630.44;7066;12556;15373;64
2015-01-15 10:00:00;1610.7;7066;12309;15475;62.01
2015-01-15 11:00:00;1440.23;7085;12041;15435;54.87
2015-01-15 12:00:00;1438.56;7099;12002.5;15299.5;45.3
2015-01-15 13:00:00;1300.99;7100;11518;14989;41.35
2015-01-15 14:00:00;1136.06;7100;11479;14890;40.8
2015-01-15 15:00:00;1245.6;7100;11783.5;14410.5;45.03
2015-01-15 16:00:00;1293.39;7099;12341;14193;52.47
2015-01-15 17:00:00;1602.24;7100;12733.5;15634.5;61.69
2015-01-15 18:00:00;1221.64;7100;12874.5;17102.5;63.43
2015-01-15 19:00:00;777.72;7101;13025.5;17213.5;62.01
2015-01-15 20:00:00;603.65;7102;12573.5;16871.5;54.12
2015-01-15 21:00:00;207.43;7100;11263.5;16082.5;42.35
2015-01-15 22:00:00;-148.75;7101;10593;14711;40.13
2015-01-15 23:00:00;14.86;7101;9692;13497;36
2015-01-16 00:00:00;127.2;7101;9224.5;12396.5;34
2015-01-16 01:00:00;119.77;7101;8832;11647;33.04
2015-01-16 02:00:00;444.37;7100;8839.5;10912.5;33.04
2015-01-16 03:00:00;645.79;7101;8622.5;11080.5;33.73
2015-01-16 04:00:00;720.26;7100;8628.5;11353.5;35
2015-01-16 05:00:00;1090.78;7102;9272;11425;40.69
2015-01-16 06:00:00;2194.78;7100;10837.5;11908.5;57.93
2015-01-16 07:00:00;2083.03;7100;12461.5;13322.5;64.89
2015-01-16 08:00:00;1886.86;7105;12146;14945;70.52
2015-01-16 09:00:00;1647.29;7104;11400;16727;71.25
2015-01-16 10:00:00;1040.12;7102;11527.5;17141.5;68.69
2015-01-16 11:00:00;40.14;7101;11889;17558;62.56
2015-01-16 12:00:00;-245.21;7102;11271.5;18471.5;58.34
2015-01-16 13:00:00;-729.68;7102;10906;18627;48.84
2015-01-16 14:00:00;-857.96;7101;11246.5;18381.5;46.25
2015-01-16 15:00:00;-858.91;7101;12012.5;16889.5;54.02
2015-01-16 16:00:00;-625.09;7101;12503;15579;58.98
2015-01-16 17:00:00;509.64;7100;13771;15080;63.52
2015-01-16 18:00:00;420.93;7100;14033;16090;66.94
2015-01-16 19:00:00;176.24;7102;14006.5;16182.5;64.89
2015-01-16 20:00:00;-395.97;7102;14548;15515;59.88
2015-01-16 21:00:00;-610.13;7103;13812.5;14295.5;55.02
2015-01-16 22:00:00;-692.49;7104;12517;12965;45.34
2015-01-16 23:00:00;-1124.93;7104;11850;12282;36.54
2015-01-17 00:00:00;-744.16;7102;11077.5;11820.5;33.8
2015-01-17 01:00:00;-515.02;7103;10480;11100;33.04
2015-01-17 02:00:00;-619.89;7104;10212;10367;33.04
2015-01-17 03:00:00;-582.06;7105;10097;9918;33.04
2015-01-17 04:00:00;-549.21;7104;10350.5;9483.5;34
2015-01-17 05:00:00;-222.85;7103;10288;8937;36
2015-01-17 06:00:00;-31.05;7104;10272.5;9086.5;41.19
2015-01-17 07:00:00;85.98;7102;10731.5;9593.5;48.2
2015-01-17 08:00:00;70.18;7101;11745;11527;60.64
2015-01-17 09:00:00;675.39;7102;11993;12963;64.88
2015-01-17 10:00:00;346.4;7103;11928;13712;64.88
2015-01-17 11:00:00;-56;7103;11533;13938;62.5
2015-01-17 12:00:00;-66.01;7103;11443;13786;58.69
2015-01-17 13:00:00;-323.28;7102;11424;13375;47
2015-01-17 14:00:00;-90.32;7101;10785;12659;40.4
2015-01-17 15:00:00;184.45;7101;10974.5;11569.5;39.84
2015-01-17 16:00:00;526.23;7099;11891.5;10378.5;43.1
2015-01-17 17:00:00;377.18;7099;12963;11935;56.68
2015-01-17 18:00:00;463.05;7101;13166;13372;59.82
2015-01-17 19:00:00;890.06;7102;13105.5;13618.5;57.59
2015-01-17 20:00:00;982.18;7104;13089.5;13404.5;53.7
2015-01-17 21:00:00;1258.44;7104;12357;12425;42.25
2015-01-17 22:00:00;936.06;7106;12029.5;10736.5;37.78
2015-01-17 23:00:00;504.51;7107;11621;9237;36.24
2015-01-18 00:00:00;200.24;7105;10975.5;9162.5;33.8
2015-01-18 01:00:00;-5.51;7106;10004.5;9019.5;28.75
2015-01-18 02:00:00;158.75;7106;9250.5;8895.5;27.57
2015-01-18 03:00:00;36.02;7105;9338;8725;25
2015-01-18 04:00:00;18.51;7108;9120.5;8805.5;27.25
2015-01-18 05:00:00;736.6;7108;8790;8695;28.79
2015-01-18 06:00:00;1071.68;7108;8525.5;8758.5;33.6
2015-01-18 07:00:00;1446.68;7104;8873;8578;34.9
2015-01-18 08:00:00;1637.47;7104;9713;8665;39.84
2015-01-18 09:00:00;1366.88;7104;11196;8956;43.97
2015-01-18 10:00:00;1106.04;7103;11922.5;9982.5;53.98
2015-01-18 11:00:00;311.71;7103;12290.5;10870.5;50.1
2015-01-18 12:00:00;245.89;7103;12355;11560;53.69
2015-01-18 13:00:00;-50.12;7103;12240;11963;52.8
2015-01-18 14:00:00;162.32;7104;12053;10582;42.51
2015-01-18 15:00:00;296.62;7104;11452.5;10433.5;42
2015-01-18 16:00:00;521.7;7104;11364;10406;42.51
2015-01-18 17:00:00;1076.84;7105;12167.5;11714.5;55.57
2015-01-18 18:00:00;1070.35;7105;12636.5;12933.5;60.8
2015-01-18 19:00:00;1389.23;7106;12806;13361;59.82
2015-01-18 20:00:00;1895.02;7105;12756.5;13095.5;57.59
2015-01-18 21:00:00;1931.69;7104;12547.5;11888.5;53.69
2015-01-18 22:00:00;1516.39;7103;12018.5;9874.5;42.51
