time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0010,0.0,0.0,0.0,0.0,0.0,1.68,0.55,0.0
20150101:0110,0.0,0.0,0.0,0.0,0.0,1.28,0.55,0.0
20150101:0210,0.0,0.0,0.0,0.0,0.0,1.54,0.34,0.0
20150101:0310,0.0,0.0,0.0,0.0,0.0,1.58,0.34,0.0
20150101:0410,0.0,0.0,0.0,0.0,0.0,1.61,0.34,0.0
20150101:0510,0.0,0.0,0.0,0.0,0.0,1.67,0.41,0.0
20150101:0610,0.0,0.0,0.0,0.0,0.0,1.82,0.55,0.0
20150101:0710,0.0,0.0,0.0,0.0,0.0,-0.18,1.1,0.0
20150101:0810,12.01,1.13,24.83,0.0,5.15,0.83,0.55,0.0
20150101:0910,51.84,4.29,71.07,0.0,11.22,1.38,0.28,0.0
20150101:1010,76.87,3.18,100.04,0.0,15.42,1.3,0.97,0.0
20150101:1110,64.27,0.0,88.99,0.0,17.38,2.84,1.79,0.0
20150101:1210,54.75,0.0,77.99,0.0,16.92,2.5,1.24,0.0
20150101:1310,49.41,0.0,71.99,0.0,14.08,3.12,0.97,0.0
20150101:1410,22.19,0.0,39.0,0.0,9.13,2.72,1.17,0.0
20150101:1510,2.14,1.27,9.85,0.0,2.46,3.39,0.97,0.0
20150101:1610,0.0,0.0,0.0,0.0,0.0,2.33,1.31,0.0
20150101:1710,0.0,0.0,0.0,0.0,0.0,-0.24,1.66,0.0
20150101:1810,0.0,0.0,0.0,0.0,0.0,-1.05,1.66,0.0
20150101:1910,0.0,0.0,0.0,0.0,0.0,-1.69,2.28,0.0
20150101:2010,0.0,0.0,0.0,0.0,0.0,-0.42,2.34,0.0
20150101:2110,0.0,0.0,0.0,0.0,0.0,0.14,2.41,0.0
20150101:2210,0.0,0.0,0.0,0.0,0.0,0.39,2.48,0.0
20150101:2310,0.0,0.0,0.0,0.0,0.0,0.35,2.41,0.0
20150102:0010,0.0,0.0,0.0,0.0,0.0,0.51,2.48,0.0
20150102:0110,0.0,0.0,0.0,0.0,0.0,0.42,2.9,0.0
20150102:0210,0.0,0.0,0.0,0.0,0.0,0.16,3.24,0.0
20150102:0310,0.0,0.0,0.0,0.0,0.0,0.17,3.52,0.0
20150102:0410,0.0,0.0,0.0,0.0,0.0,0.34,3.79,0.0
20150102:0510,0.0,0.0,0.0,0.0,0.0,0.66,4.14,0.0
20150102:0610,0.0,0.0,0.0,0.0,0.0,1.17,4.48,0.0
20150102:0710,0.0,0.0,0.0,0.0,0.0,1.6,5.1,0.0
20150102:0810,15.18,2.27,28.6,0.0,5.17,1.82,5.17,0.0
20150102:0910,21.5,0.0,38.0,0.0,11.26,2.25,5.03,0.0
20150102:1010,30.29,0.0,49.0,0.0,15.48,2.74,5.03,0.0
20150102:1110,30.24,0.0,49.0,0.0,17.46,3.11,5.17,0.0
20150102:1210,33.49,0.0,53.0,0.0,17.02,3.35,5.03,0.0
20150102:1310,46.92,0.0,68.99,0.0,14.19,3.53,4.69,0.0
20150102:1410,32.42,1.09,51.02,0.0,9.25,3.74,4.41,0.0
20150102:1510,4.45,7.54,11.92,0.0,2.59,3.88,4.07,0.0
20150102:1610,0.0,0.0,0.0,0.0,0.0,4.03,3.72,0.0
20150102:1710,0.0,0.0,0.0,0.0,0.0,4.16,3.52,0.0
20150102:1810,0.0,0.0,0.0,0.0,0.0,4.24,3.24,0.0
20150102:1910,0.0,0.0,0.0,0.0,0.0,3.81,3.17,0.0
20150102:2010,0.0,0.0,0.0,0.0,0.0,3.74,2.9,0.0
20150102:2110,0.0,0.0,0.0,0.0,0.0,3.42,2.76,0.0
20150102:2210,0.0,0.0,0.0,0.0,0.0,3.05,2.69,0.0
20150102:2310,0.0,0.0,0.0,0.0,0.0,2.68,2.69,0.0
20150103:0010,0.0,0.0,0.0,0.0,0.0,2.53,2.76,0.0
20150103:0110,0.0,0.0,0.0,0.0,0.0,2.57,2.76,0.0
20150103:0210,0.0,0.0,0.0,0.0,0.0,2.37,2.48,0.0
20150103:0310,0.0,0.0,0.0,0.0,0.0,2.41,2.48,0.0
20150103:0410,0.0,0.0,0.0,0.0,0.0,2.35,2.41,0.0
20150103:0510,0.0,0.0,0.0,0.0,0.0,2.29,2.48,0.0
20150103:0610,0.0,0.0,0.0,0.0,0.0,2.18,2.55,0.0
20150103:0710,0.0,0.0,0.0,0.0,0.0,2.89,2.55,0.0
20150103:0810,22.28,16.99,30.5,0.0,5.2,2.99,2.83,0.0
20150103:0910,17.51,0.0,33.0,0.0,11.31,3.16,2.55,0.0
20150103:1010,37.61,0.0,58.0,0.0,15.54,3.3,2.83,0.0
20150103:1110,66.83,0.0,91.99,0.0,17.55,3.34,2.83,0.0
20150103:1210,38.48,0.0,59.0,0.0,17.12,2.92,1.79,0.0
20150103:1310,27.04,0.0,45.0,0.0,14.31,2.19,0.9,0.0
20150103:1410,42.23,4.34,60.08,0.0,9.38,1.71,1.38,0.0
20150103:1510,2.57,0.0,11.0,0.0,2.72,1.79,1.93,0.0
20150103:1610,0.0,0.0,0.0,0.0,0.0,2.77,1.86,0.0
20150103:1710,0.0,0.0,0.0,0.0,0.0,4.07,1.72,0.0
20150103:1810,0.0,0.0,0.0,0.0,0.0,5.48,2.41,0.0
20150103:1910,0.0,0.0,0.0,0.0,0.0,6.27,2.9,0.0
20150103:2010,0.0,0.0,0.0,0.0,0.0,6.84,4.0,0.0
20150103:2110,0.0,0.0,0.0,0.0,0.0,4.25,4.62,0.0
20150103:2210,0.0,0.0,0.0,0.0,0.0,2.52,3.66,0.0
20150103:2310,0.0,0.0,0.0,0.0,0.0,1.84,2.76,0.0
20150104:0010,0.0,0.0,0.0,0.0,0.0,1.27,2.48,0.0
20150104:0110,0.0,0.0,0.0,0.0,0.0,1.38,2.34,0.0
20150104:0210,0.0,0.0,0.0,0.0,0.0,1.8,2.34,0.0
20150104:0310,0.0,0.0,0.0,0.0,0.0,2.2,2.28,0.0
20150104:0410,0.0,0.0,0.0,0.0,0.0,2.01,2.0,0.0
20150104:0510,0.0,0.0,0.0,0.0,0.0,1.88,1.79,0.0
20150104:0610,0.0,0.0,0.0,0.0,0.0,1.8,1.86,0.0
20150104:0710,0.0,0.0,0.0,0.0,0.0,1.03,2.14,0.0
20150104:0810,23.65,27.16,26.77,0.0,5.24,1.26,2.21,0.0
20150104:0910,119.55,123.3,54.58,0.0,11.36,2.21,2.48,0.0
20150104:1010,117.13,27.52,124.49,0.0,15.62,3.48,2.28,0.0
20150104:1110,120.31,17.93,136.28,0.0,17.64,4.33,2.76,0.0
20150104:1210,95.27,6.33,119.09,0.0,17.23,4.88,3.03,0.0
20150104:1310,49.91,0.0,72.99,0.0,14.43,5.08,3.03,0.0
20150104:1410,36.95,2.17,56.04,0.0,9.51,5.06,2.9,0.0
20150104:1510,4.68,3.7,13.47,0.0,2.86,4.3,2.69,0.0
20150104:1610,0.0,0.0,0.0,0.0,0.0,3.89,2.48,0.0
20150104:1710,0.0,0.0,0.0,0.0,0.0,2.97,2.28,0.0
20150104:1810,0.0,0.0,0.0,0.0,0.0,2.49,2.14,0.0
20150104:1910,0.0,0.0,0.0,0.0,0.0,1.84,2.21,0.0
20150104:2010,0.0,0.0,0.0,0.0,0.0,1.23,2.14,0.0
20150104:2110,0.0,0.0,0.0,0.0,0.0,0.96,2.0,0.0
20150104:2210,0.0,0.0,0.0,0.0,0.0,0.71,1.86,0.0
20150104:2310,0.0,0.0,0.0,0.0,0.0,0.34,1.72,0.0
20150105:0010,0.0,0.0,0.0,0.0,0.0,-0.36,1.66,0.0
20150105:0110,0.0,0.0,0.0,0.0,0.0,-0.59,1.31,0.0
20150105:0210,0.0,0.0,0.0,0.0,0.0,-0.52,1.1,0.0
20150105:0310,0.0,0.0,0.0,0.0,0.0,-1.18,1.24,0.0
20150105:0410,0.0,0.0,0.0,0.0,0.0,-1.61,1.24,0.0
20150105:0510,0.0,0.0,0.0,0.0,0.0,-1.84,1.31,0.0
20150105:0610,0.0,0.0,0.0,0.0,0.0,-1.58,1.1,0.0
20150105:0710,0.0,0.0,0.0,0.0,0.0,-1.56,0.97,0.0
20150105:0810,23.82,25.99,27.03,0.0,5.29,-2.12,1.03,0.0
20150105:0910,122.29,126.45,53.57,0.0,11.43,-0.79,0.97,0.0
20150105:1010,199.75,194.69,67.85,0.0,15.7,1.1,1.1,0.0
20150105:1110,243.27,250.87,59.74,0.0,17.75,2.03,1.31,0.0
20150105:1210,228.13,221.57,71.92,0.0,17.35,3.13,1.38,0.0
20150105:1310,173.78,168.83,67.83,0.0,14.57,3.96,1.31,0.0
20150105:1410,90.29,100.72,46.47,0.0,9.65,3.94,0.97,0.0
20150105:1510,5.95,3.67,15.43,0.0,3.01,3.24,0.97,0.0
20150105:1610,0.0,0.0,0.0,0.0,0.0,1.65,1.03,0.0
20150105:1710,0.0,0.0,0.0,0.0,0.0,1.61,0.9,0.0
20150105:1810,0.0,0.0,0.0,0.0,0.0,1.34,0.62,0.0
20150105:1910,0.0,0.0,0.0,0.0,0.0,1.1,0.9,0.0
20150105:2010,0.0,0.0,0.0,0.0,0.0,0.73,0.62,0.0
20150105:2110,0.0,0.0,0.0,0.0,0.0,0.32,0.55,0.0
20150105:2210,0.0,0.0,0.0,0.0,0.0,-0.01,0.41,0.0
20150105:2310,0.0,0.0,0.0,0.0,0.0,-0.27,0.34,0.0
20150106:0010,0.0,0.0,0.0,0.0,0.0,-0.47,0.28,0.0
20150106:0110,0.0,0.0,0.0,0.0,0.0,-0.92,0.34,0.0
20150106:0210,0.0,0.0,0.0,0.0,0.0,-1.12,0.41,0.0
20150106:0310,0.0,0.0,0.0,0.0,0.0,-1.38,0.48,0.0
20150106:0410,0.0,0.0,0.0,0.0,0.0,-1.56,0.62,0.0
20150106:0510,0.0,0.0,0.0,0.0,0.0,-1.84,0.83,0.0
20150106:0610,0.0,0.0,0.0,0.0,0.0,-2.03,0.83,0.0
20150106:0710,0.0,0.0,0.0,0.0,0.0,-1.96,0.62,0.0
20150106:0810,20.7,7.9,32.41,0.0,5.34,-1.97,0.62,0.0
20150106:0910,69.37,12.85,83.25,0.0,11.5,-1.73,0.48,0.0
20150106:1010,84.1,5.29,106.07,0.0,15.79,0.54,0.41,0.0
20150106:1110,122.54,18.97,137.3,0.0,17.86,2.23,0.41,0.0
20150106:1210,134.98,31.64,140.53,0.0,17.48,3.39,0.55,0.0
20150106:1310,111.52,30.78,116.57,0.0,14.7,3.72,0.69,0.0
20150106:1410,61.93,19.47,72.44,0.0,9.8,3.35,0.97,0.0
20150106:1510,7.62,10.9,15.26,0.0,3.16,2.71,1.45,0.0
20150106:1610,0.0,0.0,0.0,0.0,0.0,1.05,1.72,0.0
20150106:1710,0.0,0.0,0.0,0.0,0.0,-0.24,1.86,0.0
20150106:1810,0.0,0.0,0.0,0.0,0.0,-0.94,2.0,0.0
20150106:1910,0.0,0.0,0.0,0.0,0.0,-1.6,2.14,0.0
20150106:2010,0.0,0.0,0.0,0.0,0.0,-1.6,2.48,0.0
20150106:2110,0.0,0.0,0.0,0.0,0.0,-0.43,2.62,0.0
20150106:2210,0.0,0.0,0.0,0.0,0.0,-0.52,2.55,0.0
20150106:2310,0.0,0.0,0.0,0.0,0.0,-0.11,2.48,0.0
20150107:0010,0.0,0.0,0.0,0.0,0.0,0.3,2.55,0.0
20150107:0110,0.0,0.0,0.0,0.0,0.0,1.02,2.69,0.0
20150107:0210,0.0,0.0,0.0,0.0,0.0,1.44,2.69,0.0
20150107:0310,0.0,0.0,0.0,0.0,0.0,1.62,2.69,0.0
20150107:0410,0.0,0.0,0.0,0.0,0.0,1.72,2.69,0.0
20150107:0510,0.0,0.0,0.0,0.0,0.0,1.83,2.69,0.0
20150107:0610,0.0,0.0,0.0,0.0,0.0,1.89,2.55,0.0
20150107:0710,0.0,0.0,0.0,0.0,0.0,1.47,2.28,0.0
20150107:0810,17.76,3.38,31.36,0.0,5.39,1.43,2.07,0.0
20150107:0910,72.55,14.99,86.29,0.0,11.57,1.9,1.86,0.0
20150107:1010,117.68,25.37,126.44,0.0,15.89,2.65,2.0,0.0
20150107:1110,96.78,5.27,121.07,0.0,17.97,3.43,2.41,0.0
20150107:1210,145.37,40.06,143.68,0.0,17.61,3.39,1.93,0.0
20150107:1310,57.12,1.06,80.01,0.0,14.85,3.32,1.93,0.0
20150107:1410,26.11,0.0,44.0,0.0,9.95,3.23,1.93,0.0
20150107:1510,2.55,0.0,11.0,0.0,3.31,2.67,1.52,0.0
20150107:1610,0.0,0.0,0.0,0.0,0.0,2.0,1.66,0.0
20150107:1710,0.0,0.0,0.0,0.0,0.0,1.41,1.66,0.0
20150107:1810,0.0,0.0,0.0,0.0,0.0,1.06,1.66,0.0
20150107:1910,0.0,0.0,0.0,0.0,0.0,0.72,1.72,0.0
20150107:2010,0.0,0.0,0.0,0.0,0.0,0.79,1.66,0.0
20150107:2110,0.0,0.0,0.0,0.0,0.0,0.84,1.79,0.0
20150107:2210,0.0,0.0,0.0,0.0,0.0,1.1,1.72,0.0
20150107:2310,0.0,0.0,0.0,0.0,0.0,1.6,1.79,0.0
20150108:0010,0.0,0.0,0.0,0.0,0.0,2.34,2.14,0.0
20150108:0110,0.0,0.0,0.0,0.0,0.0,3.08,2.55,0.0
20150108:0210,0.0,0.0,0.0,0.0,0.0,3.71,3.03,0.0
20150108:0310,0.0,0.0,0.0,0.0,0.0,4.16,3.31,0.0
20150108:0410,0.0,0.0,0.0,0.0,0.0,4.37,3.79,0.0
20150108:0510,0.0,0.0,0.0,0.0,0.0,4.37,3.93,0.0
20150108:0610,0.0,0.0,0.0,0.0,0.0,4.52,3.93,0.0
20150108:0710,0.0,0.0,0.0,0.0,0.0,5.04,3.72,0.0
20150108:0810,3.63,0.0,13.0,0.0,5.46,5.27,3.72,0.0
20150108:0910,15.06,0.0,30.0,0.0,11.66,5.61,4.07,0.0
20150108:1010,89.46,7.4,112.11,0.0,15.99,6.05,4.41,0.0
20150108:1110,52.16,0.0,75.99,0.0,18.1,6.55,4.55,0.0
20150108:1210,60.64,0.0,85.99,0.0,17.76,6.91,4.83,0.0
20150108:1310,71.62,3.18,96.04,0.0,15.0,7.29,5.24,0.0
20150108:1410,27.17,0.0,46.0,0.0,10.11,7.6,5.52,0.0
20150108:1510,0.0,0.0,4.0,0.0,3.47,7.77,5.72,0.0
20150108:1610,0.0,0.0,0.0,0.0,0.0,7.82,6.07,0.0
20150108:1710,0.0,0.0,0.0,0.0,0.0,7.87,6.41,0.0
20150108:1810,0.0,0.0,0.0,0.0,0.0,8.14,7.1,0.0
20150108:1910,0.0,0.0,0.0,0.0,0.0,8.72,7.1,0.0
20150108:2010,0.0,0.0,0.0,0.0,0.0,8.82,6.48,0.0
20150108:2110,0.0,0.0,0.0,0.0,0.0,7.94,5.03,0.0
20150108:2210,0.0,0.0,0.0,0.0,0.0,7.14,4.07,0.0
20150108:2310,0.0,0.0,0.0,0.0,0.0,6.69,3.79,0.0
20150109:0010,0.0,0.0,0.0,0.0,0.0,6.29,3.79,0.0
20150109:0110,0.0,0.0,0.0,0.0,0.0,6.24,3.93,0.0
20150109:0210,0.0,0.0,0.0,0.0,0.0,6.23,4.28,0.0
20150109:0310,0.0,0.0,0.0,0.0,0.0,6.39,4.69,0.0
20150109:0410,0.0,0.0,0.0,0.0,0.0,6.6,5.31,0.0
20150109:0510,0.0,0.0,0.0,0.0,0.0,6.69,5.45,0.0
20150109:0610,0.0,0.0,0.0,0.0,0.0,6.6,5.59,0.0
20150109:0710,0.0,0.0,0.0,0.0,0.0,7.03,5.66,0.0
20150109:0810,20.35,6.74,33.64,0.0,5.53,7.04,5.93,0.0
20150109:0910,35.34,0.0,56.0,0.0,11.75,7.09,6.55,0.0
20150109:1010,40.2,0.0,62.0,0.0,16.11,7.65,7.38,0.0
20150109:1110,30.29,0.0,50.0,0.0,18.23,8.26,7.52,0.0
20150109:1210,50.94,0.0,74.99,0.0,17.9,8.36,7.66,0.0
20150109:1310,53.42,0.0,77.99,0.0,15.16,8.57,7.24,0.0
20150109:1410,50.61,7.55,69.14,0.0,10.27,8.81,6.97,0.0
20150109:1510,9.58,7.1,19.76,0.0,3.64,9.14,6.76,0.0
20150109:1610,0.0,0.0,0.0,0.0,0.0,9.54,6.55,0.0
20150109:1710,0.0,0.0,0.0,0.0,0.0,10.14,6.55,0.0
20150109:1810,0.0,0.0,0.0,0.0,0.0,10.58,6.48,0.0
20150109:1910,0.0,0.0,0.0,0.0,0.0,10.34,6.55,0.0
20150109:2010,0.0,0.0,0.0,0.0,0.0,10.5,6.97,0.0
20150109:2110,0.0,0.0,0.0,0.0,0.0,10.4,7.72,0.0
20150109:2210,0.0,0.0,0.0,0.0,0.0,10.64,8.34,0.0
20150109:2310,0.0,0.0,0.0,0.0,0.0,11.1,8.0,0.0
20150110:0010,0.0,0.0,0.0,0.0,0.0,11.58,7.72,0.0
20150110:0110,0.0,0.0,0.0,0.0,0.0,11.97,7.45,0.0
20150110:0210,0.0,0.0,0.0,0.0,0.0,12.19,7.17,0.0
20150110:0310,0.0,0.0,0.0,0.0,0.0,12.3,6.83,0.0
20150110:0410,0.0,0.0,0.0,0.0,0.0,12.28,6.55,0.0
20150110:0510,0.0,0.0,0.0,0.0,0.0,12.19,6.41,0.0
20150110:0610,0.0,0.0,0.0,0.0,0.0,12.01,6.34,0.0
20150110:0710,0.0,0.0,0.0,0.0,0.0,12.35,7.1,0.0
20150110:0810,2.39,0.0,11.0,0.0,5.61,12.03,7.38,0.0
20150110:0910,65.84,10.68,85.19,0.0,11.85,11.67,7.66,0.0
20150110:1010,51.01,0.0,75.99,0.0,16.23,11.45,7.86,0.0
20150110:1110,12.49,0.0,27.0,0.0,18.37,11.28,7.93,0.0
20150110:1210,31.43,0.0,52.0,0.0,18.06,11.19,8.14,0.0
20150110:1310,35.47,0.0,57.0,0.0,15.33,11.03,7.86,0.0
20150110:1410,3.49,0.0,13.0,0.0,10.44,11.08,7.59,0.0
20150110:1510,0.0,0.0,3.0,0.0,3.81,11.05,7.24,0.0
20150110:1610,0.0,0.0,0.0,0.0,0.0,10.96,6.97,0.0
20150110:1710,0.0,0.0,0.0,0.0,0.0,10.98,6.97,0.0
20150110:1810,0.0,0.0,0.0,0.0,0.0,11.04,6.69,0.0
20150110:1910,0.0,0.0,0.0,0.0,0.0,12.02,7.31,0.0
20150110:2010,0.0,0.0,0.0,0.0,0.0,11.68,6.97,0.0
20150110:2110,0.0,0.0,0.0,0.0,0.0,10.38,5.24,0.0
20150110:2210,0.0,0.0,0.0,0.0,0.0,8.93,3.66,0.0
20150110:2310,0.0,0.0,0.0,0.0,0.0,7.93,2.97,0.0
20150111:0010,0.0,0.0,0.0,0.0,0.0,7.38,2.76,0.0
20150111:0110,0.0,0.0,0.0,0.0,0.0,7.06,2.62,0.0
20150111:0210,0.0,0.0,0.0,0.0,0.0,6.43,2.55,0.0
20150111:0310,0.0,0.0,0.0,0.0,0.0,5.9,2.76,0.0
20150111:0410,0.0,0.0,0.0,0.0,0.0,5.49,3.1,0.0
20150111:0510,0.0,0.0,0.0,0.0,0.0,4.87,3.24,0.0
20150111:0610,0.0,0.0,0.0,0.0,0.0,4.3,3.24,0.0
20150111:0710,0.0,0.0,0.0,0.0,0.0,3.67,3.86,0.0
20150111:0810,27.78,45.86,21.53,0.0,5.7,3.55,4.34,0.0
20150111:0910,123.21,107.84,69.59,0.0,11.95,4.2,5.03,0.0
20150111:1010,175.03,105.54,118.63,0.0,16.35,4.81,6.21,0.0
20150111:1110,244.42,218.74,88.06,0.0,18.51,5.29,6.07,0.0
20150111:1210,142.51,33.68,146.55,0.0,18.22,5.59,5.66,0.0
20150111:1310,101.58,16.93,117.28,0.0,15.5,5.9,5.45,0.0
20150111:1410,87.06,52.69,76.06,0.0,10.62,5.97,5.17,0.0
20150111:1510,12.08,15.17,19.43,0.0,3.99,5.64,4.83,0.0
20150111:1610,0.0,0.0,0.0,0.0,0.0,5.14,4.41,0.0
20150111:1710,0.0,0.0,0.0,0.0,0.0,4.71,4.34,0.0
20150111:1810,0.0,0.0,0.0,0.0,0.0,4.64,4.41,0.0
20150111:1910,0.0,0.0,0.0,0.0,0.0,4.94,5.24,0.0
20150111:2010,0.0,0.0,0.0,0.0,0.0,4.97,5.38,0.0
20150111:2110,0.0,0.0,0.0,0.0,0.0,5.04,5.38,0.0
20150111:2210,0.0,0.0,0.0,0.0,0.0,5.04,5.38,0.0
20150111:2310,0.0,0.0,0.0,0.0,0.0,5.04,5.31,0.0
20150112:0010,0.0,0.0,0.0,0.0,0.0,5.12,5.38,0.0
20150112:0110,0.0,0.0,0.0,0.0,0.0,4.94,5.59,0.0
20150112:0210,0.0,0.0,0.0,0.0,0.0,4.87,5.72,0.0
20150112:0310,0.0,0.0,0.0,0.0,0.0,4.89,5.72,0.0
20150112:0410,0.0,0.0,0.0,0.0,0.0,4.91,5.79,0.0
20150112:0510,0.0,0.0,0.0,0.0,0.0,4.78,5.86,0.0
20150112:0610,0.0,0.0,0.0,0.0,0.0,4.7,5.72,0.0
20150112:0710,0.0,0.0,0.0,0.0,0.0,4.95,5.66,0.0
20150112:0810,4.22,0.0,14.0,0.0,5.79,4.96,5.52,0.0
20150112:0910,57.26,4.27,78.06,0.0,12.06,5.17,5.52,0.0
20150112:1010,122.15,27.43,130.45,0.0,16.49,5.52,4.97,0.0
20150112:1110,124.68,16.82,142.25,0.0,18.67,5.84,6.0,0.0
20150112:1210,26.56,0.0,45.0,0.0,18.39,6.33,6.97,0.0
20150112:1310,22.58,0.0,40.0,0.0,15.68,6.57,6.07,0.0
20150112:1410,64.87,15.04,79.3,0.0,10.8,6.65,5.93,0.0
20150112:1510,13.04,9.28,23.28,0.0,4.17,6.87,5.59,0.0
20150112:1610,0.0,0.0,0.0,0.0,0.0,6.87,5.24,0.0
20150112:1710,0.0,0.0,0.0,0.0,0.0,6.95,5.03,0.0
20150112:1810,0.0,0.0,0.0,0.0,0.0,7.09,4.9,0.0
20150112:1910,0.0,0.0,0.0,0.0,0.0,7.38,4.97,0.0
20150112:2010,0.0,0.0,0.0,0.0,0.0,7.33,4.83,0.0
20150112:2110,0.0,0.0,0.0,0.0,0.0,7.28,4.55,0.0
20150112:2210,0.0,0.0,0.0,0.0,0.0,7.06,4.21,0.0
20150112:2310,0.0,0.0,0.0,0.0,0.0,6.87,3.93,0.0
20150113:0010,0.0,0.0,0.0,0.0,0.0,6.55,3.79,0.0
20150113:0110,0.0,0.0,0.0,0.0,0.0,6.19,3.72,0.0
20150113:0210,0.0,0.0,0.0,0.0,0.0,5.84,3.66,0.0
20150113:0310,0.0,0.0,0.0,0.0,0.0,5.55,3.59,0.0
20150113:0410,0.0,0.0,0.0,0.0,0.0,5.32,3.52,0.0
20150113:0510,0.0,0.0,0.0,0.0,0.0,5.09,3.38,0.0
20150113:0610,0.0,0.0,0.0,0.0,0.0,4.93,3.38,0.0
20150113:0710,0.0,0.0,0.0,0.0,0.0,6.64,3.72,0.0
20150113:0810,34.03,32.31,36.82,0.0,5.89,7.08,3.79,0.0
20150113:0910,130.89,139.66,54.54,0.0,12.18,7.68,4.07,0.0
20150113:1010,210.17,208.75,69.81,0.0,16.63,8.89,4.41,0.0
20150113:1110,254.9,263.72,64.76,0.0,18.83,10.24,4.69,0.0
20150113:1210,243.56,240.75,74.91,0.0,18.56,11.33,5.24,0.0
20150113:1310,195.26,202.89,63.75,0.0,15.86,12.33,5.86,0.0
20150113:1410,90.78,59.01,78.14,0.0,10.99,12.77,5.86,0.0
20150113:1510,14.73,25.36,18.84,0.0,4.36,12.46,6.0,0.0
20150113:1610,0.0,0.0,0.0,0.0,0.0,11.77,5.79,0.0
20150113:1710,0.0,0.0,0.0,0.0,0.0,11.28,5.45,0.0
20150113:1810,0.0,0.0,0.0,0.0,0.0,10.85,5.24,0.0
20150113:1910,0.0,0.0,0.0,0.0,0.0,11.29,5.45,0.0
20150113:2010,0.0,0.0,0.0,0.0,0.0,10.7,5.17,0.0
20150113:2110,0.0,0.0,0.0,0.0,0.0,10.02,5.03,0.0
20150113:2210,0.0,0.0,0.0,0.0,0.0,9.27,4.97,0.0
20150113:2310,0.0,0.0,0.0,0.0,0.0,8.99,5.17,0.0
20150114:0010,0.0,0.0,0.0,0.0,0.0,8.67,5.45,0.0
20150114:0110,0.0,0.0,0.0,0.0,0.0,8.49,5.03,0.0
20150114:0210,0.0,0.0,0.0,0.0,0.0,8.35,4.83,0.0
20150114:0310,0.0,0.0,0.0,0.0,0.0,8.1,5.24,0.0
20150114:0410,0.0,0.0,0.0,0.0,0.0,7.88,5.72,0.0
20150114:0510,0.0,0.0,0.0,0.0,0.0,7.45,6.07,0.0
20150114:0610,0.0,0.0,0.0,0.0,0.0,6.95,5.31,0.0
20150114:0710,0.0,0.0,0.0,0.0,0.0,6.96,4.14,0.0
20150114:0810,19.43,3.33,34.07,0.0,6.0,6.42,3.72,0.0
20150114:0910,68.38,9.59,87.16,0.0,12.31,6.61,4.28,0.0
20150114:1010,125.62,28.45,134.47,0.0,16.77,7.06,4.14,0.0
20150114:1110,249.14,224.74,90.06,0.0,18.99,7.43,4.76,0.0
20150114:1210,105.85,7.36,131.09,0.0,18.74,7.66,5.45,0.0
20150114:1310,50.35,0.0,73.99,0.0,16.05,7.21,6.28,0.0
20150114:1410,83.46,35.36,84.72,0.0,11.18,6.65,5.59,0.0
20150114:1510,1.97,0.0,10.0,0.0,4.55,6.21,6.14,0.0
20150114:1610,0.0,0.0,0.0,0.0,0.0,5.55,5.52,0.0
20150114:1710,0.0,0.0,0.0,0.0,0.0,5.01,4.62,0.0
20150114:1810,0.0,0.0,0.0,0.0,0.0,4.46,3.86,0.0
20150114:1910,0.0,0.0,0.0,0.0,0.0,3.73,3.17,0.0
20150114:2010,0.0,0.0,0.0,0.0,0.0,3.15,2.69,0.0
20150114:2110,0.0,0.0,0.0,0.0,0.0,2.64,2.48,0.0
20150114:2210,0.0,0.0,0.0,0.0,0.0,2.66,2.55,0.0
20150114:2310,0.0,0.0,0.0,0.0,0.0,2.97,2.62,0.0
20150115:0010,0.0,0.0,0.0,0.0,0.0,3.25,2.62,0.0
20150115:0110,0.0,0.0,0.0,0.0,0.0,3.54,2.9,0.0
20150115:0210,0.0,0.0,0.0,0.0,0.0,3.98,3.03,0.0
20150115:0310,0.0,0.0,0.0,0.0,0.0,4.26,3.24,0.0
20150115:0410,0.0,0.0,0.0,0.0,0.0,4.34,3.31,0.0
20150115:0510,0.0,0.0,0.0,0.0,0.0,5.05,3.66,0.0
20150115:0610,0.0,0.0,0.0,0.0,0.0,5.9,4.21,0.0
20150115:0710,0.0,0.0,0.0,0.0,0.0,7.05,4.76,0.0
20150115:0810,20.9,3.33,36.08,0.0,6.11,7.23,4.62,0.0
20150115:0910,92.11,31.93,96.61,0.0,12.44,7.55,4.48,0.0
20150115:1010,108.52,15.8,127.24,0.0,16.93,8.38,4.55,0.0
20150115:1110,107.46,7.35,134.09,0.0,19.17,9.56,4.69,0.0
20150115:1210,122.6,15.75,144.23,0.0,18.93,10.58,4.62,0.0
20150115:1310,62.7,1.06,89.01,0.0,16.25,11.29,5.03,0.0
20150115:1410,58.26,8.56,78.15,0.0,11.38,11.67,4.97,0.0
20150115:1510,17.85,39.9,15.45,0.0,4.75,11.66,4.69,0.0
20150115:1610,0.0,0.0,0.0,0.0,0.0,11.42,4.76,0.0
20150115:1710,0.0,0.0,0.0,0.0,0.0,11.27,4.76,0.0
20150115:1810,0.0,0.0,0.0,0.0,0.0,10.94,4.48,0.0
20150115:1910,0.0,0.0,0.0,0.0,0.0,9.81,3.66,0.0
20150115:2010,0.0,0.0,0.0,0.0,0.0,9.67,3.93,0.0
