time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180523:0110,0.0,0.0,0.0,0.0,0.0,14.7,1.31,0.0
20180523:0210,0.0,0.0,0.0,0.0,0.0,14.84,1.03,0.0
20180523:0310,0.0,0.0,0.0,0.0,0.0,15.03,0.9,0.0
20180523:0410,0.0,0.0,3.0,0.0,4.56,14.68,1.1,0.0
20180523:0510,32.21,0.0,54.0,0.0,13.62,15.25,0.83,0.0
20180523:0610,70.54,0.0,101.99,0.0,23.19,16.8,0.55,0.0
20180523:0710,210.81,31.08,240.01,0.0,32.92,17.43,0.62,0.0
20180523:0810,249.45,26.15,294.03,0.0,42.4,18.74,0.62,0.0
20180523:0910,80.97,0.0,115.99,0.0,51.02,19.49,0.34,0.0
20180523:1010,461.55,188.68,409.6,0.01,57.74,19.71,0.28,0.0
20180523:1110,588.27,429.02,335.15,0.01,60.99,20.31,1.1,0.0
20180523:1210,341.56,41.38,397.11,0.01,59.55,21.53,1.66,0.0
20180523:1310,598.36,558.85,213.96,0.01,54.0,22.36,1.93,0.0
20180523:1410,496.07,395.91,241.73,0.01,45.98,23.16,1.86,0.0
20180523:1510,251.54,51.25,276.07,0.0,36.75,23.43,1.72,0.0
20180523:1610,308.29,287.03,115.01,0.01,27.07,23.26,2.21,0.0
20180523:1710,66.14,2.97,95.99,0.0,17.4,22.56,3.03,0.0
20180523:1810,12.56,0.0,28.0,0.0,8.09,19.93,2.97,0.0
20180523:1910,0.0,0.0,0.0,0.0,0.0,19.49,1.93,0.0
20180523:2010,0.0,0.0,0.0,0.0,0.0,18.62,1.86,0.0
20180523:2110,0.0,0.0,0.0,0.0,0.0,17.79,2.0,0.0
20180523:2210,0.0,0.0,0.0,0.0,0.0,17.04,1.93,0.0
20180523:2310,0.0,0.0,0.0,0.0,0.0,16.35,2.07,0.0
20180524:0010,0.0,0.0,0.0,0.0,0.0,15.83,2.07,0.0
20180524:0110,0.0,0.0,0.0,0.0,0.0,15.25,2.0,0.0
20180524:0210,0.0,0.0,0.0,0.0,0.0,14.74,1.79,0.0
20180524:0310,0.0,0.0,0.0,0.0,0.0,14.07,1.59,0.0
20180524:0410,2.36,0.0,11.0,0.0,4.69,13.51,1.66,0.0
20180524:0510,119.03,110.63,68.48,0.0,13.75,14.64,1.38,0.0
20180524:0610,269.53,266.79,84.81,0.01,23.31,16.56,0.9,0.0
20180524:0710,178.03,13.03,218.99,0.0,33.04,18.15,0.83,0.0
20180524:0810,413.24,237.38,288.44,0.01,42.53,19.18,0.76,0.0
20180524:0910,558.21,489.81,231.85,0.01,51.16,19.91,0.76,0.0
20180524:1010,363.45,63.56,405.18,0.01,57.91,20.77,0.69,0.0
20180524:1110,575.26,410.82,343.12,0.01,61.18,21.57,0.9,0.0
20180524:1210,180.27,0.0,238.98,0.0,59.74,21.98,0.9,0.0
20180524:1310,326.82,47.41,376.12,0.01,54.18,22.41,0.97,0.0
20180524:1410,353.5,108.79,347.27,0.01,46.14,22.68,1.24,0.0
20180524:1510,273.92,73.35,281.11,0.01,36.91,22.4,1.24,0.0
20180524:1610,254.76,147.01,187.0,0.01,27.22,21.73,0.48,0.0
