time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180510:1810,3971000.0,0.0,63.31,1.35,11.44,20.3,1.59,0.0
20180510:1910,0.0,0.0,0.0,0.0,0.0,18.17,0.76,0.0
20180510:2010,0.0,0.0,0.0,0.0,0.0,17.62,0.21,0.0
20180510:2110,0.0,0.0,0.0,0.0,0.0,17.13,0.62,0.0
20180510:2210,0.0,0.0,0.0,0.0,0.0,15.58,1.17,0.0
20180510:2310,0.0,0.0,0.0,0.0,0.0,14.52,1.24,0.0
20180511:0010,0.0,0.0,0.0,0.0,0.0,13.64,1.31,0.0
20180511:0110,0.0,0.0,0.0,0.0,0.0,12.8,1.38,0.0
20180511:0210,0.0,0.0,0.0,0.0,0.0,11.95,1.45,0.0
20180511:0310,0.0,0.0,0.0,0.0,0.0,11.33,1.38,0.0
20180511:0410,0.0,0.0,0.0,0.0,0.0,10.92,1.45,0.0
20180511:0510,0.0,0.0,0.0,0.0,0.0,10.46,1.52,0.0
20180511:0610,3817000.0,21.09,51.01,2.31,10.55,10.78,1.17,0.0
20180511:0710,21174000.0,186.19,94.65,6.04,22.07,14.15,1.03,0.0
20180511:0810,40709000.0,347.24,151.88,9.43,33.76,16.3,1.79,0.0
20180511:0910,53838000.0,424.34,237.73,11.92,45.31,17.69,2.21,0.0
20180511:1010,65106000.0,547.93,268.46,14.38,56.19,18.9,2.28,0.0
20180511:1110,73532000.0,685.81,253.44,16.4,65.12,20.17,2.41,0.0
20180511:1210,76904000.0,764.65,224.86,17.37,69.19,21.33,2.69,0.0
20180511:1310,75060000.0,768.37,191.83,17.17,65.75,21.91,2.97,0.0
20180511:1410,65758000.0,625.49,203.01,15.33,57.11,22.4,3.24,0.0
20180511:1510,54418000.0,537.44,139.53,13.32,46.34,22.51,3.38,0.0
20180511:1610,36074000.0,333.77,121.66,10.01,34.82,22.33,3.24,0.0
20180511:1710,15269000.0,139.89,85.59,6.37,23.13,21.99,3.03,0.0
20180511:1810,2948000.0,0.0,50.47,1.07,11.59,21.29,2.62,0.0
20180511:1910,0.0,0.0,0.0,0.0,0.0,19.84,2.21,0.0
20180511:2010,0.0,0.0,0.0,0.0,0.0,17.97,2.21,0.0
20180511:2110,0.0,0.0,0.0,0.0,0.0,16.52,2.14,0.0
20180511:2210,0.0,0.0,0.0,0.0,0.0,15.3,2.14,0.0
20180511:2310,0.0,0.0,0.0,0.0,0.0,14.26,2.0,0.0
20180512:0010,0.0,0.0,0.0,0.0,0.0,13.54,1.93,0.0
20180512:0110,0.0,0.0,0.0,0.0,0.0,12.9,1.93,0.0
20180512:0210,0.0,0.0,0.0,0.0,0.0,12.31,1.93,0.0
20180512:0310,0.0,0.0,0.0,0.0,0.0,11.48,1.79,0.0
20180512:0410,0.0,0.0,0.0,0.0,0.0,10.67,1.72,0.0
20180512:0510,0.0,0.0,0.0,0.0,0.0,10.18,1.72,0.0
20180512:0610,2632000.0,0.0,44.51,0.89,10.71,10.41,1.66,0.0
20180512:0710,11062000.0,8.08,136.41,2.91,22.22,12.57,2.62,0.0
20180512:0810,31330000.0,132.94,244.31,7.26,33.91,13.55,2.76,0.0
20180512:0910,26134000.0,26.24,291.06,6.26,45.47,14.92,3.59,0.0
20180512:1010,47815000.0,178.97,394.56,10.7,56.37,15.8,4.28,0.0
20180512:1110,54635000.0,222.74,433.66,12.14,65.34,15.95,4.76,0.0
20180512:1210,71754000.0,522.8,352.24,15.56,69.45,16.28,4.48,0.0
20180512:1310,76336000.0,719.6,218.55,16.82,65.97,17.14,4.28,0.0
20180512:1410,69999000.0,697.59,154.03,15.82,57.28,17.66,4.55,0.0
20180512:1510,55878000.0,533.69,139.25,13.29,46.49,18.04,4.83,0.0
20180512:1610,37293000.0,344.25,112.12,10.1,34.96,17.67,5.17,0.0
20180512:1710,15622000.0,146.42,79.13,6.48,23.27,16.92,5.31,0.0
20180512:1810,3172000.0,0.0,52.19,1.11,11.73,15.9,4.83,0.0
20180512:1910,0.0,0.0,0.0,0.0,0.0,14.85,4.0,0.0
20180512:2010,0.0,0.0,0.0,0.0,0.0,13.65,4.0,0.0
20180512:2110,0.0,0.0,0.0,0.0,0.0,12.6,3.93,0.0
20180512:2210,0.0,0.0,0.0,0.0,0.0,11.6,3.59,0.0
20180512:2310,0.0,0.0,0.0,0.0,0.0,10.66,3.03,0.0
20180513:0010,0.0,0.0,0.0,0.0,0.0,9.8,2.76,0.0
20180513:0110,0.0,0.0,0.0,0.0,0.0,9.02,2.76,0.0
20180513:0210,0.0,0.0,0.0,0.0,0.0,8.44,2.76,0.0
20180513:0310,0.0,0.0,0.0,0.0,0.0,7.84,2.55,0.0
20180513:0410,0.0,0.0,0.0,0.0,0.0,7.26,2.28,0.0
